Street Address,Tax Map ID,’15 Land Value,’15 Full Value,’16 Land Value,’16 Full Value,Frontage
68 L,10,12700,63400,13400,67000,25.01
70 L,9,14300,55000,11600,58000,24.96
72 L,8,8000,8000,9100,9100,24.96
74 L,7,7500,7500,4500,4500,24.96
76 L,6,25000,25000,4500,4500,26
78 L,5,75000,75000,4200,4200,28.12
80 L,4,8000,8000,4200,4200,28.13
82 L,3,6000,6000,3000,3000,20.08
84 L,2,5000,5000,2500,2500,20.02
191 P + 193 P + 195 P + 197 P + 7 W + 13 W,30,61800,61800,61800,61800,198.16
199 P,34,10200,10200,3200,3200,20.38
201 P,35,1500,155600,45800,229000,16.55
203 P,36,31100,155600,36000,180000,16.52
205 P,37,28200,140900,29400,147000,15.46
207 P,38,21600,108100,22400,112000,15.46
207.5 P,39,32200,152079,38200,191000,15
221 P,46,22900,114500,27800,139000,22
223 P,47,8200,40900,32800,160000,20
225 P,48,35300,125000,26600,133000,20.39
227 P,49,17900,89400,23000,115000,20.35
229 P,50,33700,168300,35600,178000,20.67
231 P,51,28700,143300,31800,159000,36
235 P,52,12000,12000,13400,13400,34
235.5 P,53,13800,13043,4300,4300,14.83
237 P,54,28800,124600,31800,159000,19.38
239 P,55,28500,142600,31200,156000,19.74
241 P,56,9200,87700,2900,85000,20
243 P,57,27100,135500,31800,159000,159.59
5 W,27,56700,212665,45800,229000,20.29
744 B,26,60300,361900,8000,40000,172.93
750 B,23,42500,236673,34700,180100,22.07
752 B,22,20000,21000,34700,34700,22.07
776 B,15,300000,300000,572200,572200,569.14